,strdatetime,utcdatetime,close,MA
15355,2017-06-26T14:25:00+08:00,1498458300.0,6537.0,6534.8
15356,2017-06-26T14:26:00+08:00,1498458360.0,6536.0,6534.9
15357,2017-06-26T14:27:00+08:00,1498458420.0,6536.0,6535.0
15358,2017-06-26T14:28:00+08:00,1498458480.0,6537.0,6535.15
15359,2017-06-26T14:29:00+08:00,1498458540.0,6536.0,6535.25
15360,2017-06-26T14:30:00+08:00,1498458600.0,6538.0,6535.5
15361,2017-06-26T14:31:00+08:00,1498458660.0,6537.0,6535.65
15362,2017-06-26T14:32:00+08:00,1498458720.0,6538.0,6535.85
15363,2017-06-26T14:33:00+08:00,1498458780.0,6538.0,6536.0
15364,2017-06-26T14:34:00+08:00,1498458840.0,6537.0,6536.1
15365,2017-06-26T14:35:00+08:00,1498458900.0,6538.0,6536.3
15366,2017-06-26T14:36:00+08:00,1498458960.0,6539.0,6536.5
15367,2017-06-26T14:37:00+08:00,1498459020.0,6539.0,6536.75
15368,2017-06-26T14:38:00+08:00,1498459080.0,6539.0,6537.0
15369,2017-06-26T14:39:00+08:00,1498459140.0,6536.0,6537.1
15370,2017-06-26T14:40:00+08:00,1498459200.0,6539.0,6537.35
15371,2017-06-26T14:41:00+08:00,1498459260.0,6539.0,6537.55
15372,2017-06-26T14:42:00+08:00,1498459320.0,6538.0,6537.6
15373,2017-06-26T14:43:00+08:00,1498459380.0,6536.0,6537.55
15374,2017-06-26T14:44:00+08:00,1498459440.0,6538.0,6537.55
15375,2017-06-26T14:45:00+08:00,1498459500.0,6538.0,6537.6
15376,2017-06-26T14:46:00+08:00,1498459560.0,6539.0,6537.75
15377,2017-06-26T14:47:00+08:00,1498459620.0,6538.0,6537.85
15378,2017-06-26T14:48:00+08:00,1498459680.0,6538.0,6537.9
15379,2017-06-26T14:49:00+08:00,1498459740.0,6538.0,6538.0
15380,2017-06-26T14:50:00+08:00,1498459800.0,6539.0,6538.05
15381,2017-06-26T14:51:00+08:00,1498459860.0,6539.0,6538.15
15382,2017-06-26T14:52:00+08:00,1498459920.0,6539.0,6538.2
15383,2017-06-26T14:53:00+08:00,1498459980.0,6538.0,6538.2
15384,2017-06-26T14:54:00+08:00,1498460040.0,6539.0,6538.3
15385,2017-06-26T14:55:00+08:00,1498460100.0,6538.0,6538.3
15386,2017-06-26T14:56:00+08:00,1498460160.0,6538.0,6538.25
15387,2017-06-26T14:57:00+08:00,1498460220.0,6538.0,6538.2
15388,2017-06-26T14:58:00+08:00,1498460280.0,6538.0,6538.15
15389,2017-06-26T14:59:00+08:00,1498460340.0,6537.0,6538.2
15390,2017-06-26T21:00:00+08:00,1498482000.0,6507.0,6536.6
15391,2017-06-26T21:01:00+08:00,1498482060.0,6503.0,6534.8
15392,2017-06-26T21:02:00+08:00,1498482120.0,6508.0,6533.3
15393,2017-06-26T21:03:00+08:00,1498482180.0,6506.0,6531.8
15394,2017-06-26T21:04:00+08:00,1498482240.0,6508.0,6530.3
15395,2017-06-26T21:05:00+08:00,1498482300.0,6508.0,6528.8
15396,2017-06-26T21:06:00+08:00,1498482360.0,6506.0,6527.15
15397,2017-06-26T21:07:00+08:00,1498482420.0,6510.0,6525.75
15398,2017-06-26T21:08:00+08:00,1498482480.0,6508.0,6524.25
15399,2017-06-26T21:09:00+08:00,1498482540.0,6506.0,6522.65
15400,2017-06-26T21:10:00+08:00,1498482600.0,6507.0,6521.05
15401,2017-06-26T21:11:00+08:00,1498482660.0,6508.0,6519.5
15402,2017-06-26T21:12:00+08:00,1498482720.0,6505.0,6517.8
15403,2017-06-26T21:13:00+08:00,1498482780.0,6502.0,6516.0
15404,2017-06-26T21:14:00+08:00,1498482840.0,6501.0,6514.1
15405,2017-06-26T21:15:00+08:00,1498482900.0,6495.0,6511.95
15406,2017-06-26T21:16:00+08:00,1498482960.0,6496.0,6509.85
15407,2017-06-26T21:17:00+08:00,1498483020.0,6488.0,6507.35
15408,2017-06-26T21:18:00+08:00,1498483080.0,6492.0,6505.05
15409,2017-06-26T21:19:00+08:00,1498483140.0,6491.0,6502.75
15410,2017-06-26T21:20:00+08:00,1498483200.0,6492.0,6502.0
15411,2017-06-26T21:21:00+08:00,1498483260.0,6494.0,6501.55
15412,2017-06-26T21:22:00+08:00,1498483320.0,6497.0,6501.0
15413,2017-06-26T21:23:00+08:00,1498483380.0,6502.0,6500.8
15414,2017-06-26T21:24:00+08:00,1498483440.0,6501.0,6500.45
15415,2017-06-26T21:25:00+08:00,1498483500.0,6506.0,6500.35
15416,2017-06-26T21:26:00+08:00,1498483560.0,6503.0,6500.2
15417,2017-06-26T21:27:00+08:00,1498483620.0,6505.0,6499.95
15418,2017-06-26T21:28:00+08:00,1498483680.0,6505.0,6499.8
15419,2017-06-26T21:29:00+08:00,1498483740.0,6505.0,6499.75
15420,2017-06-26T21:30:00+08:00,1498483800.0,6508.0,6499.8
15421,2017-06-26T21:31:00+08:00,1498483860.0,6510.0,6499.9
15422,2017-06-26T21:32:00+08:00,1498483920.0,6507.0,6500.0
15423,2017-06-26T21:33:00+08:00,1498483980.0,6507.0,6500.25
15424,2017-06-26T21:34:00+08:00,1498484040.0,6507.0,6500.55
15425,2017-06-26T21:35:00+08:00,1498484100.0,6505.0,6501.05
15426,2017-06-26T21:36:00+08:00,1498484160.0,6507.0,6501.6
15427,2017-06-26T21:37:00+08:00,1498484220.0,6505.0,6502.45
15428,2017-06-26T21:38:00+08:00,1498484280.0,6503.0,6503.0
15429,2017-06-26T21:39:00+08:00,1498484340.0,6500.0,6503.45
15430,2017-06-26T21:40:00+08:00,1498484400.0,6498.0,6503.75
15431,2017-06-26T21:41:00+08:00,1498484460.0,6496.0,6503.85
15432,2017-06-26T21:42:00+08:00,1498484520.0,6500.0,6504.0
15433,2017-06-26T21:43:00+08:00,1498484580.0,6500.0,6503.9
15434,2017-06-26T21:44:00+08:00,1498484640.0,6506.0,6504.15
15435,2017-06-26T21:45:00+08:00,1498484700.0,6507.0,6504.2
15436,2017-06-26T21:46:00+08:00,1498484760.0,6506.0,6504.35
15437,2017-06-26T21:47:00+08:00,1498484820.0,6508.0,6504.5
15438,2017-06-26T21:48:00+08:00,1498484880.0,6513.0,6504.9
15439,2017-06-26T21:49:00+08:00,1498484940.0,6513.0,6505.3
15440,2017-06-26T21:50:00+08:00,1498485000.0,6511.0,6505.45
15441,2017-06-26T21:51:00+08:00,1498485060.0,6511.0,6505.5
15442,2017-06-26T21:52:00+08:00,1498485120.0,6510.0,6505.65
15443,2017-06-26T21:53:00+08:00,1498485180.0,6511.0,6505.85
15444,2017-06-26T21:54:00+08:00,1498485240.0,6510.0,6506.0
15445,2017-06-26T21:55:00+08:00,1498485300.0,6514.0,6506.45
15446,2017-06-26T21:56:00+08:00,1498485360.0,6513.0,6506.75
15447,2017-06-26T21:57:00+08:00,1498485420.0,6513.0,6507.15
15448,2017-06-26T21:58:00+08:00,1498485480.0,6512.0,6507.6
15449,2017-06-26T21:59:00+08:00,1498485540.0,6512.0,6508.2
15450,2017-06-26T22:00:00+08:00,1498485600.0,6511.0,6508.85
15451,2017-06-26T22:01:00+08:00,1498485660.0,6510.0,6509.55
15452,2017-06-26T22:02:00+08:00,1498485720.0,6509.0,6510.0
15453,2017-06-26T22:03:00+08:00,1498485780.0,6510.0,6510.5
15454,2017-06-26T22:04:00+08:00,1498485840.0,6510.0,6510.7
15455,2017-06-26T22:05:00+08:00,1498485900.0,6509.0,6510.8
15456,2017-06-26T22:06:00+08:00,1498485960.0,6510.0,6511.0
15457,2017-06-26T22:07:00+08:00,1498486020.0,6513.0,6511.25
15458,2017-06-26T22:08:00+08:00,1498486080.0,6513.0,6511.25
15459,2017-06-26T22:09:00+08:00,1498486140.0,6512.0,6511.2
15460,2017-06-26T22:10:00+08:00,1498486200.0,6510.0,6511.15
15461,2017-06-26T22:11:00+08:00,1498486260.0,6510.0,6511.1
15462,2017-06-26T22:12:00+08:00,1498486320.0,6509.0,6511.05
15463,2017-06-26T22:13:00+08:00,1498486380.0,6509.0,6510.95
15464,2017-06-26T22:14:00+08:00,1498486440.0,6509.0,6510.9
15465,2017-06-26T22:15:00+08:00,1498486500.0,6509.0,6510.65
15466,2017-06-26T22:16:00+08:00,1498486560.0,6508.0,6510.4
15467,2017-06-26T22:17:00+08:00,1498486620.0,6508.0,6510.15
15468,2017-06-26T22:18:00+08:00,1498486680.0,6508.0,6509.95
15469,2017-06-26T22:19:00+08:00,1498486740.0,6508.0,6509.75
15470,2017-06-26T22:20:00+08:00,1498486800.0,6509.0,6509.65
15471,2017-06-26T22:21:00+08:00,1498486860.0,6510.0,6509.65
15472,2017-06-26T22:22:00+08:00,1498486920.0,6512.0,6509.8
15473,2017-06-26T22:23:00+08:00,1498486980.0,6511.0,6509.85
15474,2017-06-26T22:24:00+08:00,1498487040.0,6510.0,6509.85
15475,2017-06-26T22:25:00+08:00,1498487100.0,6510.0,6509.9
15476,2017-06-26T22:26:00+08:00,1498487160.0,6511.0,6509.95
